# Originally from UniProt known kinase list, but kinase.com may use alternative
# name for different kinases. For some kinases, there are alternative names
# with the same Uniprot id., or name with different cases.
AAK1 Q2M2I8 
MYLK Q15746
smMLCK Q15746
MLCK1 Q15746
MYLK3 Q32MK0	
SgK085 Q86YV6
MYLK4 Q86YV6	
MYO3A Q8NEV4 
MYO3B Q8WXR4 
NEK10 Q6ZWH5 
NEK11 Q8NG66 
NEK1 Q96PY6 
NEK2 P51955 
NEK3 P51956 
NEK4 P51957 
NEK5 Q6P3R8 
NEK6 Q9HC98 
NEK7 Q8TDX7 
NEK8 Q86SG6 
NEK9 Q8TD19 
NIM1K Q8IY84	
NIM1 Q8IY84
NLK Q9UBE8 
NRBP1 Q9UHY1 
NRBP2 Q9NSY0 
NRK Q7Z2Y5 
NTRK1 P04629 
TRKA P04629
NTRK2 Q16620
TRKB Q16620 
NTRK3 Q16288 
TRKC Q16288
NUAK1 O60285	
NuaK1 KO60285
NUAK2 Q9H093	
NuaK2 Q9H093
OBSCN Q5VST9	
Obscn1 Q5VST9
Obscn2 Q5VST9
OXSR1 O95747 
OSR1 O95747
PAK1 Q13153 
PAK2 Q13177 
PAK3 O75914 
PAK4 O96013 
PAK5 Q9P286 
PAK6 Q9NQU5 
PAN3 Q58A45 
PASK Q96RG2	
STLK3 Q96RG2
PBK Q96KB5 
PDGFRA P16234 
PDGFRa P16234
PDGFRB P09619
PDGFRb P09619 
PDIK1L Q8N165 
CLIK1L Q8N165
PDK1 Q15118 
PDK2 Q15119 
PDK3 Q15120 
PDK4 Q16654 
PDPK1 O15530	
PDPK2P Q6A1A2	
PEAK1 Q9H792 
SgK269 Q9H792
PEAK3 Q6ZS72
PHKG1 Q16816	
PHKg1 Q16816
PHKG2 P15735
PHKg2 P15735
PIK3CA P42336 
PIK3CG P48736 
PIK3R4 Q99570 
PIM1 P11309	
PIM2 Q9P1W9	
PIM3 Q86V86	
PINK1 Q9BXM7 
PKDCC Q504Y2 
SgK493 Q504Y2
PKMYT1 Q99640 
MYT1 Q99640
PKN1 Q16512	
PKN2 Q16513	
PKN3 Q6P5Z2	
PLK1 P53350 
PLK2 Q9NYY3 
PLK3 Q9H4B4 
PLK4 O00444 
PLK5 Q496M5 
PNCK Q6P2M8	
CaMK1b Q6P2M8
POMK Q9H5K3 
SgK196 Q9H5K3
PRAG1 Q86YV5 
SgK223 Q86YV5
PRKAA1 Q13131
AMPKa1 Q13131
PRKAA2 P54646
AMPKa2 P54646	
PRKACA P17612
PKACa P17612
PKCa P17612
PRKACB P22694
PKACb P22694
PRKACG P22612	
PKACg P22612
PRKCA P17252
PRKCB P05771	
PKCb P05771
PRKCD Q05655	
PKCd Q05655
PRKCE Q02156
PKCe Q02156
PRKCG P05129	
PKCg P05129
PRKCH P24723	
PKCh P24723
PRKCI P41743	
PKCi P41743
PRKCQ Q04759
PKCt Q04759	
PRKCZ Q05513	
PKCz Q05513
PRKD1 Q15139	
PKD1 Q15139
PRKD2 Q9BZL6	
PKD2 Q9BZL6
PRKD3 O94806	
PKD3 O94806
PRKDC P78527 
PRKG1 Q13976	
PKG1 Q13976
PRKG2 Q13237	
